,Title,Address,Rent(Rs),Deposit(Rs),Size(Acres),Furnishing,Property age,Available for,Immediate possession
152,2 BHK in Vettuvankeni,"Standalone Building, Near Domino's Pizza",8000,50000,600,UnFurnished,Newly Constructed,All,Ready to Move
153,"1 RK in Prasad house, Teynampet","Kamarajar Street, Periyar Salai, Near Teynampet Metro Station",6500,30000,250,Semi Furnished,5-10 years ,Bachelors,01-Mar-2019
154,"4 BHK in Maplewood, Kandancavadi","V.o.c Street, Near Kandanchavadi Bus Stop,",150000,900000,3300,Full Furnished,5-10 years ,All,Ready to Move
155,2 BHK in Ayappakkam,"Standalone Building, Anna Salai, Near Government High School, Aya ...",7500,75000,525,Semi Furnished,1-3 years ,Family,Ready to Move
156,"3 BHK in Sri Ragavendra's Karphaga Vinayagar Apartments, Madanand ...","Madha Nagar, Near Greens Supermarket And Karpaga Vinayagar Temple ...",15000,75000,1350,Semi Furnished,3-5 years ,Family,Ready to Move
157,2 BHK in Sithalapakkam,"Independent House, Ottiyambakkam Main Road, Near St. Antony's Chu ...",9000,50000,1200,UnFurnished,Newly Constructed,All,15-Mar-2019
158,"3 BHK in Krish Apartment, Virugambakkam","Gangai Amman Koil St , Natesa Nagar, Near Sri Varatha Raja Peruma ...",20000,100000,1450,UnFurnished,5-10 years ,All,Ready to Move
159,"2 BHK in Dee Nivas, Thoraipakkam","Th Street, V.p.g. Avenue Ext., Mettukuppam, Near Ceebros Boule ...",12000,60000,750,UnFurnished,1-3 years ,Bachelors,16-Feb-2019
160,2 BHK in Triplicane,"Standalone Building, Thandavarayan St, Near Arulmigu Sri Parthasa ...",18000,150000,710,UnFurnished,5-10 years ,Family,Ready to Move
161,3 BHK in Mylapore,"Standalone Building, Appu Street, 2nd Street Near Nestinn Womens ...",55000,300000,1600,Semi Furnished,5-10 years ,All,Ready to Move
162,2 BHK in Anna Nagar West Extension,"Independent House, Radial Nagar,56th Street, Near Chennai Public ...",25000,200000,1200,Semi Furnished,Newly Constructed,All,Ready to Move
163,"2 BHK in Ram Plaza, Villivakkam","Mth Road,near Hp Petrol Pump,",12000,72000,1120,Semi Furnished,>10 years ,Family,Ready to Move
164,"2 BHK in bajaj apartment, Periyamet",Jothi Venkatachalam Rd Near Commissioner Office,18000,180000,1200,Semi Furnished,Newly Constructed,Family,15-Feb-2019
165,2 BHK in Perumbakkam,"Independent House, Perumbakkam Main Rd Near Perumbakkam Advent C ...",10000,100000,800,UnFurnished,Newly Constructed,Family,Ready to Move
166,"2 BHK in Duruv Apartments, Iyyappanthangal","Kattupakkam, Near Sri Ramachandra University,",10000,60000,900,Semi Furnished,Newly Constructed,All,01-Apr-2019
167,"3 BHK in not disclosed, Chromepet","Hasthinpuram, Near Udhayam Residency",12000,60000,1200,Semi Furnished,Newly Constructed,All,Ready to Move
168,"2 BHK in Ssm Nagar, Perungalathur","Alappakam, New Perungalathur, Chennai, Tamil Nadu, India.",10000,30000,1072,UnFurnished,Newly Constructed,All,Ready to Move
169,"2 BHK in Jains Naksatra, Chinna Nolambur","Chinna Nolambur Bridge, Sathiyamoorthy Nagar, Near Krs Choda Maha ...",25000,200000,1350,Full Furnished,5-10 years ,All,Ready to Move
170,2 BHK in Kodambakkam,"Independent House, Dasspuram ,near Trustpuram Ground",8000,60000,485,UnFurnished,Newly Constructed,Family,Ready to Move
171,2 BHK in Maduravoyal,"Standalone Building, Karthikeyan Nagar Near Bharathi Matriculatio ...",15500,100000,840,Semi Furnished,Newly Constructed,Bachelors,Ready to Move
172,"2 BHK in sakthi, Perungudi","New Venkataswara Nagar,near Montfort Matriculation School",12000,40000,700,UnFurnished,5-10 years ,All,11-Feb-2019
173,1 BHK in Mogappair West,"Standalone Building, Kalamegam Rd,near Sri Devi Karumari Amman Al ...",6000,30000,500,UnFurnished,5-10 years ,All,Ready to Move
174,"2 BHK in Radiance Mercury, Perumbakkam","Radiance Mercury Road, Gandhi Nagar, Perumbakkam, Chennai, Tamil ...",17500,100000,967,Semi Furnished,Newly Constructed,Family,11-Feb-2019
175,"2 BHK in Roja Apartment, Thoraipakkam","Nehru Nagar, Opp Asv Chandilya Towers",26000,156000,1100,Semi Furnished,1-3 years ,Family,15-Feb-2019
176,"3 BHK in Pro Four Season 3, Ramapuram",Royala Nagar Near L'amicale Club,22000,110000,1480,Semi Furnished,1-3 years ,Family,Ready to Move
177,1 BHK in Ramapuram,"Independent House, Manapakkam Main Rd,near Manapakkam Eb Office",8900,50000,600,Semi Furnished,3-5 years ,Family,Ready to Move
178,2 BHK in Kolathur,"Independent House, Samdaria Colony, Near Ss Hyderabad Biryani",14000,70000,1100,UnFurnished,Newly Constructed,Family,Ready to Move
179,"2 BHK in Srishti Signature Flats, Sithalapakkam","Ottiambakkam Main Rd, Sithalapakkam, Chennai, Tamil Nadu 600126, ...",15000,100000,954,Full Furnished,5-10 years ,Family,Ready to Move
180,"2 BHK in Samuthira Enclave, Thoraipakkam","39, S3, Second Floor, 1st Street, Vpg Avenue, Mettukuppam, Near A ...",18000,100000,842,UnFurnished,Under Construction,All,Ready to Move
181,"2 BHK in Marutham Prestige, Tambaram West","Krishna Nagar, Tambaram West, Chennai, Tamil Nadu, India.",10000,50000,906,UnFurnished,Newly Constructed,Family,Ready to Move
182,"2 BHK in Marvel apartments, Adyar","Iv Main Road, Indira Nagar Near Ttk Hospital (t.t. Ranganathan Cl ...",42400,270000,1600,Semi Furnished,Newly Constructed,All,Ready to Move
183,"2 BHK in Pals Courts, Nungambakkam","Chennai, Seetha Nagar, Nungambakkam, Chennai, Tamil Nadu 600034, ...",25000,100000,950,Semi Furnished,>10 years ,All,10-Mar-2019
184,"2 BHK in Ground plus one, Kottivakkam,","Venkateswara Nagar, New Colony, Opposite To Kfc And Behind..hyund ...",14000,90000,950,Semi Furnished,1-3 years ,Family,25-Feb-2019
185,"3 BHK in Vedam, Kotturpuram","Gandhi Mandapam Rd, Surya Nagar,near Anna Centenary Library",125000,1250000,2200,Semi Furnished,Newly Constructed,Company,Ready to Move
186,2 BHK in CIT Nagar,"Standalone Building, 70 Feet Road, Near Aranganathan Subway",13000,80000,600,Semi Furnished,1-3 years ,All,Ready to Move
187,"3 BHK in Pallav bhooma, Valasaravakkam","Svs Nagar, Venkata Subramaniya Nagar, Near P A Associates",20000,200000,1200,Semi Furnished,3-5 years ,Family,Ready to Move
188,"3 BHK in Prince Highlands, Iyyappanthangal","Old No. 1/1350, Mount Poonamallee Road, Iyyapanthangal, Chennai, ...",28000,100000,1790,Semi Furnished,Newly Constructed,Family,Ready to Move
189,"2 BHK in Latif Manzil, Thiruvanmiyur","Valmiki Nagar, Near Thiruvanmiyur Rto Office,",20000,1500000,1300,Semi Furnished,>10 years ,All,01-Mar-2019
190,3 BHK in Ashok Nagar,"Independent House, Ashok Pillar Main Road, Near Hotel Saravana Bh ...",33000,200000,1900,Semi Furnished,5-10 years ,Family,01-Mar-2019
191,"2 BHK in Sri Padmam, West Mambalam","Vadivelpuram, Near Srinivasa Theatre",18000,100000,650,Semi Furnished,Newly Constructed,All,15-Feb-2019
192,1 BHK in Chromepet,"Standalone Building, Srinivasan Nagar Near Nsn Matriculation High ...",5000,50000,450,UnFurnished,>10 years ,Family,Ready to Move
193,2 BHK in Ponniammanmedu,"Independent House, Ambedkar Nagar, Near St. Anne's Arts And Scien ...",8000,50000,850,UnFurnished,Newly Constructed,Family,Ready to Move
194,2 BHK in Mogappair East,"Standalone Building, Gandhi St, Near Amma Hotel Padi Kuppam",8500,50000,700,UnFurnished,1-3 years ,Family,Ready to Move
195,"3 BHK in Vgn Krona Flats, Gerugambakkam","Sankaralinganar St, Bharathi Nagar, Gerugambakkam, Chennai, Tamil ...",13000,72000,1238,Semi Furnished,3-5 years ,All,01-Apr-2019
196,2 BHK in Velappanchavadi,"Standalone Building, Poonamalle High Road Near Acs Medical Colle ...",10000,50000,950,UnFurnished,5-10 years ,Family,Ready to Move
197,"3 BHK in Royal Park Phase 2, Mugalivakkam","Madhanandapuram,krishna St ,evp Rajeshwari Avenue,near Evp Rajesh ...",12000,60000,1270,Semi Furnished,1-3 years ,All,05-Mar-2019
198,2 BHK in Ponniammanmedu,"Independent House, Balaji Nagar Main Rd Behind Shepherd Nursing H ...",13000,100000,800,Semi Furnished,5-10 years ,Family,Ready to Move
199,"2 BHK in Malles Arcadiaa, Velachery","Ags Colony, Velachery, Chennai - 600042, Tamil Nadu, India.",21000,100000,1000,Semi Furnished,1-3 years ,Family,15-Feb-2019
200,"2 BHK in MRK Gardens, Neelankarai","Pandiyan Salai, Perungudi Near Axis Bank Atm And Neelankarai Masj ...",15000,75000,800,Semi Furnished,3-5 years ,Family,Ready to Move
201,"1 BHK in Tnhb Lig Flat, Sholinganallur","Tnhb, Sholinganallur, Chennai",12000,60000,590,Semi Furnished,Newly Constructed,All,Ready to Move
202,"2 BHK in Pushpa Apartment, Nungambakkam","Pushpa Nagar Main Rd, Pushpa Nagar, Behind Loyola College,",18000,100000,950,Semi Furnished,1-3 years ,Family,Ready to Move
203,"1 RK in residhome, Thoraipakkam","Alagappa Nagar, 2nd Cross Street, Ptc Quarters Near Sai Amartya",6000,30000,200,Semi Furnished,Newly Constructed,Bachelors,01-Mar-2019
204,"2 BHK in City's Venus, Kattupakkam","Sivan Street, Near Cambridge School,",9500,70000,940,UnFurnished,3-5 years ,Family,Ready to Move
205,"2 BHK in Josrak flat., Kodungaiyur","Rv Nagar, Near Sri Ayyappan Temple,",10000,100000,700,UnFurnished,Newly Constructed,All,28-Feb-2019
206,1 BHK in Perungudi,"Independent House, Elim Nagar,near Sri Vembuli Amman Sengeyni Amm ...",9000,20000,600,UnFurnished,5-10 years ,All,Ready to Move
207,2 BHK in Perambur,"Independent House, Agaram,near Allahabad Bank And Icici Bank",13500,60000,1000,UnFurnished,>10 years ,Family,Ready to Move
208,"3 BHK in Alacrity Kenwith Garden, Chetpet",Mc Nichols Rd Opp Dr. Mehta's Hospitals,30000,200000,1000,UnFurnished,>10 years ,All,10-Feb-2019
209,"2 BHK in Sudhirs Lotus Apartment, Sholinganallur",Arasankazhani Near Sudhirs Orchid Flats,12500,75000,745,Semi Furnished,1-3 years ,Family,Ready to Move
210,2 BHK in Kolathur,"Independent House, Perambur Red Hills Rd, Behind Amma Unavagam",15000,100000,1100,UnFurnished,5-10 years ,Family,Ready to Move
211,1 RK in Ayanavaram,"Standalone Building, Chetty St, Kuppusamy Nagar, Near Solai Amman ...",6500,30000,350,UnFurnished,>10 years ,All,Ready to Move
212,"2 BHK in Indiabulls Greens, Perumbakkam","Vgp Prabhu Nagar, Near Nilgiri's",18000,100000,1000,Semi Furnished,Newly Constructed,All,Ready to Move
213,"2 BHK in Vishwa Apartments, Gowrivakkam","Velachery - Tambaram Main Rd, Near Tanishq Gowrivakkam",9000,40000,720,UnFurnished,5-10 years ,Bachelors,Ready to Move
214,1 BHK in Medavakkam,"Independent House, Lake Bund Road, Off Perumbakkam Main Road, Nea ...",8000,40000,750,UnFurnished,>10 years ,All,Ready to Move
215,"2 BHK in Borisam Court, Mugalivakkam","Mugalivakkam Main Rd, Subasree Nagar Extension, Mugalivakkam, Che ...",17000,95000,1000,Semi Furnished,1-3 years ,Family,Ready to Move
216,2 BHK in Selaiyur,"Independent House, New Balaji Nagar Main Road,near Viveks",10000,35000,800,Semi Furnished,3-5 years ,Family,Ready to Move
217,1 BHK in Thiruvanmiyur,"Standalone Building, Valmiki Nagar,near Rto Thiruvanmiyur",12000,60000,630,UnFurnished,5-10 years ,Bachelors,Ready to Move
218,"2 BHK in Bliss, Thalambur",Palandi Amman St Near Thalambur Post Office,12500,60000,950,Semi Furnished,Newly Constructed,Family,01-Apr-2019
219,1 RK in Mugalivakkam,"Independent House, Vgn Lakshmi Nagar, Near Super Saravana Stores",5000,25000,250,UnFurnished,1-3 years ,Bachelors,Ready to Move
220,"2 BHK in Lakshmi Enclave, New Perungalathur",Kagabujinder Nagar Near Rainbow Nest Apartment,8000,40000,850,Semi Furnished,5-10 years ,All,Ready to Move
221,3 BHK in Anna Nagar,"Standalone Building, Z Block,3rd Street,near Sundaram Medical Fou ...",45000,450000,2000,Semi Furnished,>10 years ,Family,01-Mar-2019
222,1 BHK in Adyar,"Standalone Building, Canal Bank Road , Gandhi Nagar Near Saint Lo ...",15000,50000,500,Full Furnished,>10 years ,Family,Ready to Move
223,1 BHK in Medavakkam,"Independent House, Ranganathapuram, Near Reliance Fresh",7500,50000,680,UnFurnished,Newly Constructed,All,Ready to Move
224,2 BHK in Medavakkam,"Independent House, Jayalakshmi Nagar Near Boaz Hospital Near Sant ...",9300,60000,800,UnFurnished,5-10 years ,All,Ready to Move
225,"2 BHK in Pace Residency, T.Nagar",Thirumurthy St Behind Madras Coffee House,25000,200000,954,Semi Furnished,>10 years ,Family,10-Feb-2019
226,2 BHK in Vadapalani,"Standalone Building, Gangaiamman Koil Street Near Gangai Amman Ko ...",-,1000000,560,UnFurnished,>10 years ,All,Ready to Move
227,"3 BHK in Hill Crest, T Nagar",Venkatanaraya Road Near Natesan Park,35000,210000,1204,Semi Furnished,>10 years ,Family,Ready to Move
228,2 BHK in Navallur,"Independent House, Thalambur Rd, Bajanai Koil 1st Cross Street, B ...",12500,30000,1100,Semi Furnished,Newly Constructed,All,10-Feb-2019
229,2 BHK in Madipakkam,"Independent House, Medavakkam Main Road Ragavanagar Near Karthik ...",16000,110000,1200,Semi Furnished,Newly Constructed,Family,Ready to Move
230,2 BHK in Thiruvanmiyur,"Standalone Building, 47th Cross Street, Near Scientific Medical S ...",8500,30000,440,Semi Furnished,1-3 years ,Bachelors,Ready to Move
231,"2 BHK in Akash Ganga Apartments, Pallikaranai","Saibaba Nagar, Near Pursuit Logistics",10000,50000,950,Semi Furnished,Newly Constructed,Family,Ready to Move
232,"2 BHK in RM Saraswathi Flats, Chromepet","Pazhani Andavar Street, Radha Nagar,near St.marks Matriculation H ...",90000,50000,750,UnFurnished,>10 years ,Family,Ready to Move
233,2 BHK in Ambattur,"Independent House, Ambattur Red Hills Rd Near Ayyappan Temple",12000,100000,800,Semi Furnished,Newly Constructed,Family,Ready to Move
234,1 BHK in Kolapakkam,"Independent House, Kamatchiamman Nagar, Near Quality Inn Super Ma ...",6000,40000,700,UnFurnished,1-3 years ,All,Ready to Move
235,"2 BHK in Kings Court, Perungudi","Mks Nagar, Near Perungudi Toll Plaza",19000,100000,1200,Semi Furnished,5-10 years ,Family,01-Apr-2019
236,"2 BHK in Vetri apartment, Sembakkam, Chennai, Tamil Nadu, India",Near M.a.v. Swimming Pool,8500,40000,650,UnFurnished,3-5 years ,Family,05-Mar-2019
237,"3 BHK in Ramaniyam Samarpann, Thiruvanmiyur","Ramaniyam Samarpann, #1, 20th E St, Kamaraj Nagar, Thiruvanmiyur, ...",55000,500000,1500,Semi Furnished,5-10 years ,All,28-Feb-2019
238,"2 BHK in Jasmine Flats, Kolathur",Kadappa Rd Near Kings Hospital,11500,80000,800,Semi Furnished,Newly Constructed,Family,Ready to Move
239,"2 BHK in Plot#62, Thoraipakkam",Raju Nagar 1st Main Road Behind Omr Food Street,23000,125000,1200,Semi Furnished,1-3 years ,Family,01-Mar-2019
240,1 BHK in Raja Annamalai Puram,"Independent House, May Flower Garden Near Rani Meyyammai Girls Hi ...",12000,50000,650,Semi Furnished,5-10 years ,All,Ready to Move
241,"3 BHK in Ramaniyam isha, Thoraipakkam",Opposite To Sangeetha Restaurant,50000,500000,1930,Full Furnished,1-3 years ,All,15-Mar-2019
242,"2 BHK in Doshi Euphoria, Perungudi","Rajiv Nagar, Perungudi, Chennai, Tamil Nadu, India.",20000,125000,1145,Semi Furnished,1-3 years ,Family,01-Mar-2019
243,"3 BHK in Kumars Good Nest, Chennai, Tamil Nadu, India",Kasturibai Nagar Near Pizza Hut,28000,150000,1300,Semi Furnished,>10 years ,Family,Ready to Move
244,"3 BHK in Skanda Griha, Virugambakkam","Saradha Nagar Extension, Reddy Street, Near Virugambakkam Market ...",20000,100000,1145,Semi Furnished,>10 years ,Family,Ready to Move
245,"3 BHK in Apartment, Kolathur","Water Canal Road, Near Drj Hospital",23000,100000,1335,Full Furnished,1-3 years ,Family,Ready to Move
246,"1 BHK in Jayam villa apartment, Mylapore","Madha Church Rd, Mandavelipakkam,near Dyana Ashram",20000,200000,500,UnFurnished,5-10 years ,Company,Ready to Move
247,"1 BHK in Lake View Apartment, Sholinganallur","Old Mahabalipuram Rd, Near Infosys",7600,42000,450,Semi Furnished,5-10 years ,Family,Ready to Move
248,"3 BHK in Poomalai Hiranya, Perungudi","Kandhanchavadi, Perungudi, Chennai, Tamil Nadu, India.",27000,162000,1496,Semi Furnished,1-3 years ,Family,Ready to Move
249,1 RK in Kodambakkam,"Standalone Building, West Mambalam, Near Arulmigu Kaaliamman Temp ...",10000,30000,450,Semi Furnished,3-5 years ,Family,Ready to Move
250,"2 BHK in Amarprakash Temple Waves, Chromepet","Kundrathur Main Road, Pkv Maha Nagar, Near Thiruneermalai Temple, ...",9000,90000,880,UnFurnished,Newly Constructed,Family,Ready to Move
251,2 BHK in Saligramam,"Standalone Building, Venkatesh Nagar First Extension, Near Sri Ra ...",15000,90000,950,Semi Furnished,5-10 years ,Family,Ready to Move
252,2 BHK in Kovur,"Independent House, Near Sri Muthukumaran Medical College",10001,40000,1160,UnFurnished,1-3 years ,All,Ready to Move
253,"2 BHK in Samatvam, Adyar","Lb Rd, Padmanabha Nagar, Near Indian Oil",70000,210000,1650,Full Furnished,Newly Constructed,Family,01-May-2019
254,2 BHK in Mel Ayanambakkam,"Standalone Building, Vallalar St,near Velammal Vidyalaya",-,500000,800,UnFurnished,3-5 years ,Family,Ready to Move
255,2 BHK in Mel ayanambakkam,"Independent House, Vellalar Street Near Velammal Vidyalaya",8500,75000,800,UnFurnished,3-5 years ,Family,Ready to Move
256,2 BHK in Tambaram,"Independent House, Sadasivan St, Near Hotel Lions India",10000,50000,850,Semi Furnished,>10 years ,All,Ready to Move
257,"3 BHK in SSM Nagar, East Tambaram","East Tambaram, Chennai",15500,77500,1250,UnFurnished,Newly Constructed,Family,Ready to Move
258,"2 BHK in Pushkar Jk Gardens, Annanagar East","2nd Main Rd, Block E,near, Valliammal College For Women",28000,200000,1080,Semi Furnished,3-5 years ,Family,Ready to Move
259,"2 BHK in Jayam Arcade, Ambattur",Near Domino's Pizza,9500,30000,786,UnFurnished,5-10 years ,Family,Ready to Move
260,2 BHK in Tambaram,"Standalone Building, Nellore Amman Kovil Street, Near Nellur Amma ...",10500,50000,850,Semi Furnished,3-5 years ,Family,Ready to Move
261,"3 BHK in Embassy Residency, Sholinganallur","Near Global Hospitals, Cheran Nagar, Sholinganallur, Chennai, Tam ...",22500,150000,1575,Semi Furnished,Newly Constructed,All,Ready to Move
262,"1 BHK in Narasimha Apartments, Triplicane","Thulasinga Perumal Koil Street,near Arulmigu Sri Parthasarathy Pe ...",11500,69000,490,Semi Furnished,5-10 years ,All,Ready to Move
263,2 BHK in Medavakkam,"Independent House, Anjeneya Nagar Jalladianpet Near Annai Theresa ...",11500,50000,1100,UnFurnished,Newly Constructed,Family,Ready to Move
264,"3 BHK in Lancor The Central Park, Old Mahabalipuram Road","Old Mahabalipuram Road, Sholinganallur, Chennai, Tamil Nadu, Indi ...",30000,300000,1567,Semi Furnished,5-10 years ,Family,Ready to Move
265,3 BHK in Ashok Nandavanam,"Standalone Building, Ashok Nandavanam, Noombal Icon Near Snega Ka ...",15000,150000,1350,Semi Furnished,Newly Constructed,Family,Ready to Move
266,3 BHK in Porur,"Independent House, Lakshmi Nagar, Near,jk Hospitals",22000,150000,1800,Semi Furnished,3-5 years ,Family,Ready to Move
267,2 BHK in Iyyappanthangal,"Undisclosed, E V P Prabhu Avenue Near Little Drops",8500,93500,900,UnFurnished,5-10 years ,Family,Ready to Move
268,"1 BHK in GK Nivas, Anakaputhur",Mutharulandi Nagar Near Anakaputhur Municipality Office,2700,8000,800,UnFurnished,Newly Constructed,All,Ready to Move
269,1 BHK in Vaysarpadi,"Independent House, Kodungayur,bhavani Amman Street, Krishnamoorth ...",9500,80000,600,UnFurnished,5-10 years ,Family,Ready to Move
270,"2 BHK in Mogappair East,","Independent House, J J Nagar Near The Madras Medical Mission",17000,170000,1000,UnFurnished,>10 years ,Family,01-Apr-2019
271,2 BHK in Sholinganallur,"Independent House, Old Mahabalipuram Rd, Nedunchezian Salai, Near ...",14000,100000,800,Semi Furnished,1-3 years ,All,01-Mar-2019
272,1 BHK in Nungambakkam,"Independent House, Kamdar Nagar 1st Main Rd, Near Thandumariamman ...",8000,60000,480,UnFurnished,5-10 years ,Family,Ready to Move
273,"2 BHK in Alliance Orchid Springs, Korattur","No.54, Water Canal Road, Tvs Nagar, Korattur, Chennai, Tamil Nadu ...",21000,100000,1132,Semi Furnished,Newly Constructed,All,Ready to Move
274,"2 BHK in Sudharshan apartment, Kundrathur","Sammandam Nagar Main Rd,near Kundrathur Sub Registrar Office",7500,50000,740,UnFurnished,3-5 years ,Family,Ready to Move
275,1 BHK in Ayanavaram,"Independent House, Officers Colony, Near Dhanish Matriculation Hi ...",8000,50000,450,UnFurnished,>10 years ,Family,Ready to Move
276,"2 BHK in Vanaval Flat, Ramapuram",Natesan Nagar Near Bank Of Baroda And Giri Nagar Park,15500,60000,900,UnFurnished,5-10 years ,All,Ready to Move
277,2 BHK in Ayanavaram,"Independent House, Solaiamman Koil St Thiruvalluvar Nagar, Dr Amb ...",13000,100000,1000,Semi Furnished,5-10 years ,Family,Ready to Move
278,"2 BHK in Neelam Garden, Perambur, Chennai, Tamil Nadu, India","Independent House, Neelam Garden Street, Near Shree Karumari Amma ...",10500,60000,700,UnFurnished,1-3 years ,Family,10-Feb-2019
279,"2 BHK in Violet Flats, Mogappair","Vellalar Street,near Violet Aaron Church",10000,80000,750,UnFurnished,>10 years ,Family,Ready to Move
280,"3 BHK in AJ20, Anna Nagar","Shanthi Colony, A J Block, Block Aj,near Dindigul Thalappakatti R ...",40000,400000,1500,UnFurnished,>10 years ,Family,Ready to Move
281,2 BHK in Medavakkam,"Independent House, Evr Street , Vengaivasal, Near Sri Vinayaga Ho ...",10000,50000,900,UnFurnished,3-5 years ,Family,10-Apr-2019
282,2 BHK in Virugambakkam,"Independent House, Sai Nagar Near Abilash Bakery Sweets",12000,100000,700,UnFurnished,>10 years ,Family,Ready to Move
283,4 BHK in Valasaravakkam,"Independent House, Alwarthirunagar Near Surya Mahal",33000,180000,2200,Semi Furnished,3-5 years ,Family,Ready to Move
284,3 BHK in Keelkattalai,"Standalone Building, Soundararajan Nagar Main Rd, Near Grace Hosp ...",14000,70000,1000,Semi Furnished,>10 years ,All,Ready to Move
285,1 BHK in Ramapuram,"Independent House, Kurinji Nagar, Near Waitrose London Supermarke ...",7000,35000,450,UnFurnished,5-10 years ,Family,Ready to Move
286,2 BHK in Virugambakkam,"Independent House, Chinmaya Nagar, Stage 2, Near Chinmaya Vidyala ...",16000,90000,1000,Semi Furnished,5-10 years ,Family,01-Mar-2019
287,"3 BHK in The Metrozone, Thirumangalam","Jawaharlal Nehru Road, Anna Nagar West,near Kendriya Vidyalaya,",80000,800000,2062,Full Furnished,1-3 years ,All,Ready to Move
288,"1 BHK in Optima ace, Ambattur","Korattur, Gnanamurthi Nagar,near Phoenix Trading",8000,80000,459,Semi Furnished,1-3 years ,All,Ready to Move
289,"3 BHK in Om Sai Flats, Iyappanthangal","Ssd Oil Mills Rd, Near Ashok Nandavanam",10500,50000,1100,Semi Furnished,3-5 years ,Family,Ready to Move
290,"1 BHK in Ascent Akshayam, New Perungalathur","Ramanujam St , Near Railway Station And Hotel Shree Chendhur - Hs ...",10000,50000,650,Semi Furnished,Newly Constructed,Family,Ready to Move
291,2 BHK in Teynampet,"Independent House, Ellaiamman Colony, 6th Cross, Next To Stella M ...",40000,250000,1100,Full Furnished,Under Construction,All,Ready to Move
292,"2 BHK in East Square Apartments, Annanagar East","R.v. Nagar, Voc Nagar, Near Vijay Fancy Item And Selva Vinayagar ...",21000,150000,1060,Semi Furnished,>10 years ,Family,Ready to Move
293,1 BHK in Mogappair East,"Independent House, 7th Block, Mogaqppair Eri, Mogappair East,near ...",6700,67000,400,Semi Furnished,3-5 years ,All,Ready to Move
294,1 BHK in Mugappair West,"Standalone Building, Brindawan Colony,behind Velammal Matriculati ...",10000,75000,800,UnFurnished,>10 years ,All,Ready to Move
295,2 BHK in Mogappair,"Independent House, (anna Nagar) Padi Pudur Nagar, 34th Street Kov ...",15000,120000,650,Semi Furnished,Newly Constructed,All,Ready to Move
296,"3 BHK in Aishwaryam apartment, Porur","Chettigaram Agaram, Near Vanagaram Toll Booth",16000,100000,1200,Semi Furnished,3-5 years ,All,Ready to Move
297,"2 BHK in Nirupa Palace, Anna Nagar","6th Avenue ,68, P Block, Anna Nagar West,chennai 40, Near K4 Poli ...",22000,150000,1000,Semi Furnished,5-10 years ,Family,Ready to Move
298,"3 BHK in Eta Star Jasmine Court, Valasaravakkam","Mt Poonamalle High Road, Valasaravakkam, Chennai, Tamil Nadu, Ind ...",26000,150000,1178,Full Furnished,3-5 years ,All,Ready to Move
299,2 BHK in Nangainallur,"Independent House, 9/5 Teachers Colony 3rd Street Nanganallur",12500,75000,800,Semi Furnished,Newly Constructed,Family,Ready to Move
300,1 BHK in Kolathur,"Standalone Building, Thangavel Street Vetri Nagar Near Don Bosco ...",6800,40000,550,UnFurnished,5-10 years ,Family,Ready to Move
301,1 BHK in Pallavaram,"Independent House, Chavadi Street, Near Ganga Sweets",7000,40000,700,Semi Furnished,Newly Constructed,Family,Ready to Move
302,2 BHK in Iyyappanthangal,"Independent House, Padmavathy Nagar,near Alpha Arts And Science C ...",8500,50000,750,UnFurnished,3-5 years ,Family,Ready to Move
303,"3 BHK in cee dee yes evergreen enclave, Velachery",Anna Nagar Extension Near Sai Sukrta Apartments And Kiran Fashion ...,16000,96000,900,Semi Furnished,3-5 years ,Family,Ready to Move
304,2 BHK in Choolaimedu,"Independent House, Ngo Colony 1st Cross Street Near By Dav Matric ...",34000,300000,1200,Semi Furnished,1-3 years ,All,Ready to Move
305,"2 BHK in Rythems Apartments, Adyar",10th Cross Street,23000,200000,830,Semi Furnished,>10 years ,Family,04-Mar-2019
306,"1 BHK in standalone buidling, Villivakkam",Thiru Nagar Near Nathamuni Theatre,8000,50000,600,UnFurnished,5-10 years ,Family,Ready to Move
307,"3 BHK in Casagrand Pavilion, Thalambur","Palandi Amman St, Omr, Thalambur, Chennai, Tamil Nadu, India.",15000,90000,1200,UnFurnished,1-3 years ,Family,Ready to Move
308,3 BHK in Vadapalani,"Standalone Building, 4th Street, Kumaran Colony, Nsk Salai, Arcot ...",20000,200000,1533,Semi Furnished,Newly Constructed,All,Ready to Move
309,"3 BHK in Adroit Aura One, Adyar","Shastri Nagar, Adyar, Chennai, Tamil Nadu, India.",50000,300000,1650,Semi Furnished,5-10 years ,Family,Ready to Move
310,"2 BHK in Ruby Flats, Medavakkam","Patel Road,near New Prince Shri Bhavani Arts And Science College",15000,100000,750,Semi Furnished,Newly Constructed,Family,Ready to Move
311,"2 BHK in Ayya Pavithran Mahal, Velachery","V.o.c Nagar, Near San Academy School",14000,25000,920,UnFurnished,3-5 years ,Family,25-Mar-2019
312,1 BHK in Pozhichalur,"Independent House, Ambedkar Main Rd Near Das Nursing Home",5000,30000,400,UnFurnished,5-10 years ,Bachelors,Ready to Move
313,2 BHK in Madambakkam,"Independent House, Krishna Nagar Near Zion School",8500,50000,980,UnFurnished,Newly Constructed,Family,Ready to Move
314,2 BHK in Thoraipakkam,"Independent House, Near Varashakthi Vinayagar Temple, Sri Sai Nag ...",11000,40000,500,UnFurnished,>10 years ,All,Ready to Move
